[H2(g)](M),[O2(g)](M),[C(g)](M),[N2(g)](M),R_X(M/s),R_Y(M/s),R_Z(M/s),R_W(M/s),R_V(M/s),R_U(M/s)
1.00E-02,1.00E-01,5.00E-02,1.00E-02,2.75E-08,2.02E-04,8.29E-18,1.24E-35,2.50E-09,2.33E-24
1.00E-02,1.00E-01,5.00E-02,5.00E-02,2.77E-08,4.44E-04,1.84E-17,1.24E-35,2.46E-09,5.17E-24
1.00E-02,1.00E-01,5.00E-02,1.00E-01,2.76E-08,6.38E-04,2.64E-17,1.24E-35,2.51E-09,7.37E-24
1.00E-02,1.00E-01,5.00E-02,5.00E-01,2.77E-08,1.41E-03,5.81E-17,1.24E-35,2.46E-09,1.64E-23
1.00E-02,1.00E-01,5.00E-02,1.00E+00,2.74E-08,2.00E-03,8.24E-17,1.23E-35,2.52E-09,2.32E-23
1.00E-02,1.00E-01,5.00E-02,5.00E+00,2.74E-08,4.44E-03,1.85E-16,1.24E-35,2.47E-09,5.21E-23
1.00E-02,1.00E-01,1.00E-01,1.00E-02,1.09E-07,3.98E-04,2.67E-16,3.19E-33,1.01E-08,2.39E-21
1.00E-02,1.00E-01,1.00E-01,5.00E-02,1.11E-07,8.93E-04,5.99E-16,3.16E-33,9.84E-09,5.38E-21
1.00E-02,1.00E-01,1.00E-01,1.00E-01,1.11E-07,1.26E-03,8.35E-16,3.19E-33,1.02E-08,7.57E-21
1.00E-02,1.00E-01,1.00E-01,5.00E-01,1.11E-07,2.83E-03,1.88E-15,3.18E-33,9.90E-09,1.70E-20
1.00E-02,1.00E-01,1.00E-01,1.00E+00,1.10E-07,4.03E-03,2.63E-15,3.20E-33,1.00E-08,2.39E-20
1.00E-02,1.00E-01,1.00E-01,5.00E+00,1.10E-07,9.00E-03,5.90E-15,3.15E-33,1.02E-08,5.33E-20
1.00E-02,1.00E-01,5.00E-01,1.00E-02,2.75E-06,2.00E-03,8.35E-13,1.23E-27,2.53E-07,2.35E-14
1.00E-02,1.00E-01,5.00E-01,5.00E-02,2.73E-06,4.50E-03,1.84E-12,1.24E-27,2.49E-07,5.16E-14
1.00E-02,1.00E-01,5.00E-01,1.00E-01,2.73E-06,6.38E-03,2.65E-12,1.23E-27,2.54E-07,7.38E-14
1.00E-02,1.00E-01,5.00E-01,5.00E-01,2.77E-06,1.41E-02,5.87E-12,1.24E-27,2.52E-07,1.65E-13
1.00E-02,1.00E-01,5.00E-01,1.00E+00,2.77E-06,2.00E-02,8.27E-12,1.24E-27,2.53E-07,2.31E-13
1.00E-02,1.00E-01,5.00E-01,5.00E+00,2.76E-06,4.47E-02,1.86E-11,1.24E-27,2.50E-07,5.24E-13
1.00E-02,1.00E-01,1.00E+00,1.00E-02,1.09E-05,4.00E-03,2.66E-11,3.16E-25,1.02E-06,2.37E-11
1.00E-02,1.00E-01,1.00E+00,5.00E-02,1.09E-05,8.96E-03,5.89E-11,3.19E-25,9.85E-07,5.29E-11
1.00E-02,1.00E-01,1.00E+00,1.00E-01,1.11E-05,1.26E-02,8.33E-11,3.14E-25,9.84E-07,7.56E-11
1.00E-02,1.00E-01,1.00E+00,5.00E-01,1.10E-05,2.82E-02,1.88E-10,3.20E-25,9.99E-07,1.67E-10
1.00E-02,1.00E-01,1.00E+00,1.00E+00,1.10E-05,4.02E-02,2.65E-10,3.15E-25,1.02E-06,2.41E-10
1.00E-02,1.00E-01,1.00E+00,5.00E+00,1.11E-05,8.97E-02,5.91E-10,3.17E-25,1.00E-06,5.31E-10
1.00E-02,1.00E-01,5.00E+00,1.00E-02,2.74E-04,2.02E-02,8.22E-08,1.24E-19,2.54E-05,2.32E-04
1.00E-02,1.00E-01,5.00E+00,5.00E-02,2.76E-04,4.47E-02,1.84E-07,1.25E-19,2.48E-05,5.26E-04
1.00E-02,1.00E-01,5.00E+00,1.00E-01,2.75E-04,6.32E-02,2.60E-07,1.25E-19,2.54E-05,7.37E-04
1.00E-02,1.00E-01,5.00E+00,5.00E-01,2.75E-04,1.41E-01,5.85E-07,1.24E-19,2.53E-05,1.66E-03
1.00E-02,1.00E-01,5.00E+00,1.00E+00,2.76E-04,2.01E-01,8.26E-07,1.23E-19,2.52E-05,2.34E-03
1.00E-02,1.00E-01,5.00E+00,5.00E+00,2.73E-04,4.48E-01,1.85E-06,1.24E-19,2.49E-05,5.20E-03
1.00E-02,5.00E-01,1.00E-02,1.00E-02,5.55E-09,4.01E-05,5.93E-21,3.15E-41,5.06E-10,2.69E-30
1.00E-02,5.00E-01,1.00E-02,5.00E-02,5.55E-09,8.90E-05,1.33E-20,3.15E-41,4.91E-10,5.98E-30
1.00E-02,5.00E-01,1.00E-02,1.00E-01,5.48E-09,1.26E-04,1.87E-20,3.16E-41,4.91E-10,8.51E-30
1.00E-02,5.00E-01,1.00E-02,5.00E-01,5.52E-09,2.83E-04,4.20E-20,3.16E-41,5.06E-10,1.88E-29
1.00E-02,5.00E-01,1.00E-02,1.00E+00,5.46E-09,4.03E-04,5.89E-20,3.19E-41,5.04E-10,2.65E-29
1.00E-02,5.00E-01,1.00E-02,5.00E+00,5.51E-09,8.98E-04,1.34E-19,3.20E-41,4.98E-10,5.98E-29
1.00E-02,5.00E-01,5.00E-02,1.00E-02,1.39E-07,2.02E-04,1.87E-17,1.24E-35,1.25E-08,2.61E-23
1.00E-02,5.00E-01,5.00E-02,5.00E-02,1.37E-07,4.50E-04,4.12E-17,1.24E-35,1.27E-08,5.84E-23
1.00E-02,5.00E-01,5.00E-02,1.00E-01,1.38E-07,6.36E-04,5.88E-17,1.25E-35,1.25E-08,8.27E-23
1.00E-02,5.00E-01,5.00E-02,5.00E-01,1.38E-07,1.43E-03,1.32E-16,1.24E-35,1.23E-08,1.83E-22
1.00E-02,5.00E-01,5.00E-02,1.00E+00,1.37E-07,2.01E-03,1.85E-16,1.24E-35,1.23E-08,2.61E-22
1.00E-02,5.00E-01,5.00E-02,5.00E+00,1.39E-07,4.47E-03,4.14E-16,1.25E-35,1.26E-08,5.81E-22
1.00E-02,5.00E-01,1.00E-01,1.00E-02,5.49E-07,4.01E-04,5.90E-16,3.18E-33,5.06E-08,2.65E-20
1.00E-02,5.00E-01,1.00E-01,5.00E-02,5.52E-07,8.97E-04,1.33E-15,3.15E-33,5.02E-08,5.95E-20
1.00E-02,5.00E-01,1.00E-01,1.00E-01,5.55E-07,1.28E-03,1.88E-15,3.17E-33,5.08E-08,8.37E-20
1.00E-02,5.00E-01,1.00E-01,5.00E-01,5.52E-07,2.82E-03,4.22E-15,3.19E-33,5.08E-08,1.90E-19
1.00E-02,5.00E-01,1.00E-01,1.00E+00,5.51E-07,3.98E-03,5.93E-15,3.18E-33,4.96E-08,2.66E-19
1.00E-02,5.00E-01,1.00E-01,5.00E+00,5.47E-07,8.87E-03,1.33E-14,3.18E-33,5.08E-08,5.93E-19
1.00E-02,5.00E-01,5.00E-01,1.00E-02,1.38E-05,2.02E-03,1.86E-12,1.24E-27,1.26E-06,2.60E-13
1.00E-02,5.00E-01,5.00E-01,5.00E-02,1.39E-05,4.48E-03,4.12E-12,1.23E-27,1.25E-06,5.82E-13
1.00E-02,5.00E-01,5.00E-01,1.00E-01,1.37E-05,6.33E-03,5.90E-12,1.23E-27,1.26E-06,8.21E-13
1.00E-02,5.00E-01,5.00E-01,5.00E-01,1.36E-05,1.41E-02,1.32E-11,1.24E-27,1.26E-06,1.83E-12
1.00E-02,5.00E-01,5.00E-01,1.00E+00,1.39E-05,2.02E-02,1.86E-11,1.24E-27,1.26E-06,2.61E-12
1.00E-02,5.00E-01,5.00E-01,5.00E+00,1.39E-05,4.46E-02,4.19E-11,1.25E-27,1.23E-06,5.81E-12
1.00E-02,5.00E-01,1.00E+00,1.00E-02,5.48E-05,4.02E-03,5.97E-11,3.18E-25,4.97E-06,2.67E-10
1.00E-02,5.00E-01,1.00E+00,5.00E-02,5.48E-05,8.92E-03,1.32E-10,3.19E-25,4.90E-06,5.95E-10
1.00E-02,5.00E-01,1.00E+00,1.00E-01,5.51E-05,1.26E-02,1.86E-10,3.15E-25,5.07E-06,8.35E-10
1.00E-02,5.00E-01,1.00E+00,5.00E-01,5.55E-05,2.83E-02,4.23E-10,3.20E-25,5.08E-06,1.87E-09
1.00E-02,5.00E-01,1.00E+00,1.00E+00,5.53E-05,3.97E-02,5.89E-10,3.15E-25,4.98E-06,2.65E-09
1.00E-02,5.00E-01,1.00E+00,5.00E+00,5.52E-05,8.99E-02,1.32E-09,3.18E-25,5.00E-06,5.99E-09
1.00E-02,5.00E-01,5.00E+00,1.00E-02,1.37E-03,2.01E-02,1.85E-07,1.24E-19,1.23E-04,2.62E-03
1.00E-02,5.00E-01,5.00E+00,5.00E-02,1.37E-03,4.50E-02,4.12E-07,1.24E-19,1.23E-04,5.83E-03
1.00E-02,5.00E-01,5.00E+00,1.00E-01,1.37E-03,6.27E-02,5.83E-07,1.24E-19,1.26E-04,8.16E-03
1.00E-02,5.00E-01,5.00E+00,5.00E-01,1.38E-03,1.41E-01,1.31E-06,1.24E-19,1.24E-04,1.84E-02
1.00E-02,5.00E-01,5.00E+00,1.00E+00,1.38E-03,2.00E-01,1.87E-06,1.25E-19,1.24E-04,2.59E-02
1.00E-02,5.00E-01,5.00E+00,5.00E+00,1.37E-03,4.44E-01,4.14E-06,1.25E-19,1.26E-04,5.86E-02
1.00E-02,1.00E+00,1.00E-02,1.00E-02,1.09E-08,3.98E-05,8.46E-21,3.14E-41,1.01E-09,7.48E-30
1.00E-02,1.00E+00,1.00E-02,5.00E-02,1.11E-08,8.87E-05,1.89E-20,3.20E-41,9.86E-10,1.69E-29
1.00E-02,1.00E+00,1.00E-02,1.00E-01,1.11E-08,1.27E-04,2.64E-20,3.17E-41,1.01E-09,2.40E-29
1.00E-02,1.00E+00,1.00E-02,5.00E-01,1.11E-08,2.86E-04,5.88E-20,3.17E-41,9.99E-10,5.30E-29
1.00E-02,1.00E+00,1.00E-02,1.00E+00,1.10E-08,4.01E-04,8.47E-20,3.17E-41,9.82E-10,7.55E-29
1.00E-02,1.00E+00,1.00E-02,5.00E+00,1.10E-08,8.92E-04,1.89E-19,3.16E-41,1.01E-09,1.68E-28
1.00E-02,1.00E+00,5.00E-02,1.00E-02,2.75E-07,1.99E-04,2.65E-17,1.23E-35,2.50E-08,7.35E-23
1.00E-02,1.00E+00,5.00E-02,5.00E-02,2.73E-07,4.47E-04,5.86E-17,1.24E-35,2.47E-08,1.66E-22
1.00E-02,1.00E+00,5.00E-02,1.00E-01,2.76E-07,6.29E-04,8.38E-17,1.23E-35,2.47E-08,2.34E-22
1.00E-02,1.00E+00,5.00E-02,5.00E-01,2.73E-07,1.42E-03,1.87E-16,1.23E-35,2.47E-08,5.25E-22
1.00E-02,1.00E+00,5.00E-02,1.00E+00,2.75E-07,1.99E-03,2.65E-16,1.23E-35,2.53E-08,7.43E-22
1.00E-02,1.00E+00,5.00E-02,5.00E+00,2.77E-07,4.49E-03,5.92E-16,1.23E-35,2.46E-08,1.64E-21
1.00E-02,1.00E+00,1.00E-01,1.00E-02,1.10E-06,3.99E-04,8.31E-16,3.17E-33,9.91E-08,7.56E-20
1.00E-02,1.00E+00,1.00E-01,5.00E-02,1.10E-06,9.00E-04,1.88E-15,3.17E-33,9.92E-08,1.68E-19
1.00E-02,1.00E+00,1.00E-01,1.00E-01,1.11E-06,1.27E-03,2.65E-15,3.19E-33,9.92E-08,2.37E-19
1.00E-02,1.00E+00,1.00E-01,5.00E-01,1.11E-06,2.81E-03,5.90E-15,3.15E-33,1.02E-07,5.32E-19
1.00E-02,1.00E+00,1.00E-01,1.00E+00,1.11E-06,4.02E-03,8.33E-15,3.18E-33,1.00E-07,7.53E-19
1.00E-02,1.00E+00,1.00E-01,5.00E+00,1.10E-06,8.99E-03,1.86E-14,3.16E-33,9.94E-08,1.67E-18
1.00E-02,1.00E+00,5.00E-01,1.00E-02,2.76E-05,2.00E-03,2.64E-12,1.23E-27,2.50E-06,7.33E-13
1.00E-02,1.00E+00,5.00E-01,5.00E-02,2.74E-05,4.50E-03,5.88E-12,1.23E-27,2.48E-06,1.63E-12
1.00E-02,1.00E+00,5.00E-01,1.00E-01,2.74E-05,6.33E-03,8.37E-12,1.24E-27,2.46E-06,2.35E-12
1.00E-02,1.00E+00,5.00E-01,5.00E-01,2.76E-05,1.42E-02,1.87E-11,1.24E-27,2.53E-06,5.21E-12
1.00E-02,1.00E+00,5.00E-01,1.00E+00,2.76E-05,2.00E-02,2.60E-11,1.23E-27,2.48E-06,7.36E-12
1.00E-02,1.00E+00,5.00E-01,5.00E+00,2.74E-05,4.46E-02,5.91E-11,1.24E-27,2.50E-06,1.65E-11
1.00E-02,1.00E+00,1.00E+00,1.00E-02,1.10E-04,3.97E-03,8.35E-11,3.19E-25,9.92E-06,7.56E-10
1.00E-02,1.00E+00,1.00E+00,5.00E-02,1.10E-04,8.93E-03,1.86E-10,3.14E-25,9.96E-06,1.67E-09
1.00E-02,1.00E+00,1.00E+00,1.00E-01,1.11E-04,1.27E-02,2.64E-10,3.14E-25,9.82E-06,2.37E-09
1.00E-02,1.00E+00,1.00E+00,5.00E-01,1.11E-04,2.83E-02,5.92E-10,3.18E-25,1.01E-05,5.32E-09
1.00E-02,1.00E+00,1.00E+00,1.00E+00,1.11E-04,4.00E-02,8.45E-10,3.14E-25,1.02E-05,7.59E-09
1.00E-02,1.00E+00,1.00E+00,5.00E+00,1.10E-04,9.01E-02,1.89E-09,3.19E-25,1.01E-05,1.70E-08
1.00E-02,1.00E+00,5.00E+00,1.00E-02,2.76E-03,1.99E-02,2.62E-07,1.24E-19,2.53E-04,7.43E-03
1.00E-02,1.00E+00,5.00E+00,5.00E-02,2.78E-03,4.48E-02,5.89E-07,1.23E-19,2.45E-04,1.66E-02
1.00E-02,1.00E+00,5.00E+00,1.00E-01,2.76E-03,6.34E-02,8.37E-07,1.23E-19,2.52E-04,2.33E-02
1.00E-02,1.00E+00,5.00E+00,5.00E-01,2.76E-03,1.41E-01,1.87E-06,1.24E-19,2.53E-04,5.24E-02
1.00E-02,1.00E+00,5.00E+00,1.00E+00,2.76E-03,1.98E-01,2.61E-06,1.24E-19,2.52E-04,7.37E-02
1.00E-02,1.00E+00,5.00E+00,5.00E+00,2.77E-03,4.44E-01,5.91E-06,1.24E-19,2.55E-04,1.66E-01
1.00E-02,5.00E+00,1.00E-02,1.00E-02,5.48E-08,4.00E-05,1.89E-20,3.17E-41,4.94E-09,8.47E-29
1.00E-02,5.00E+00,1.00E-02,5.00E-02,5.51E-08,8.92E-05,4.17E-20,3.18E-41,5.08E-09,1.87E-28
1.00E-02,5.00E+00,1.00E-02,1.00E-01,5.56E-08,1.27E-04,5.88E-20,3.16E-41,4.94E-09,2.65E-28
1.00E-02,5.00E+00,1.00E-02,5.00E-01,5.50E-08,2.81E-04,1.33E-19,3.15E-41,5.02E-09,5.93E-28
1.00E-02,5.00E+00,1.00E-02,1.00E+00,5.48E-08,4.03E-04,1.88E-19,3.17E-41,4.97E-09,8.52E-28
1.00E-02,5.00E+00,1.00E-02,5.00E+00,5.45E-08,8.96E-04,4.19E-19,3.15E-41,5.00E-09,1.89E-27
1.00E-02,5.00E+00,5.00E-02,1.00E-02,1.38E-06,2.02E-04,5.88E-17,1.24E-35,1.27E-07,8.18E-22
1.00E-02,5.00E+00,5.00E-02,5.00E-02,1.37E-06,4.50E-04,1.32E-16,1.24E-35,1.26E-07,1.82E-21
1.00E-02,5.00E+00,5.00E-02,1.00E-01,1.39E-06,6.36E-04,1.84E-16,1.24E-35,1.26E-07,2.59E-21
1.00E-02,5.00E+00,5.00E-02,5.00E-01,1.37E-06,1.41E-03,4.13E-16,1.25E-35,1.23E-07,5.77E-21
1.00E-02,5.00E+00,5.00E-02,1.00E+00,1.37E-06,1.98E-03,5.86E-16,1.25E-35,1.25E-07,8.25E-21
1.00E-02,5.00E+00,5.00E-02,5.00E+00,1.37E-06,4.49E-03,1.32E-15,1.24E-35,1.23E-07,1.85E-20
1.00E-02,5.00E+00,1.00E-01,1.00E-02,5.52E-06,3.99E-04,1.87E-15,3.20E-33,5.09E-07,8.42E-19
1.00E-02,5.00E+00,1.00E-01,5.00E-02,5.52E-06,8.92E-04,4.16E-15,3.15E-33,5.05E-07,1.88E-18
1.00E-02,5.00E+00,1.00E-01,1.00E-01,5.52E-06,1.27E-03,5.91E-15,3.18E-33,4.92E-07,2.64E-18
1.00E-02,5.00E+00,1.00E-01,5.00E-01,5.48E-06,2.85E-03,1.33E-14,3.17E-33,5.02E-07,6.00E-18
1.00E-02,5.00E+00,1.00E-01,1.00E+00,5.56E-06,4.01E-03,1.86E-14,3.17E-33,5.02E-07,8.49E-18
